"Id" "parto" "ap" "cr" "cc" "ppd" "ano" "epoca" "edad"
"1" "1574" 10 14 "CR4" 3.5 10.45 2002 "B" 175
"2" "1704" 9 13 "CR4" 3 9.58 2002 "A" 161
"3" "1773" 10 13 "CR4" 3.5 9.63 2002 "C" 160
"7" "1882" 9 11 "CR3" 3.25 12.7 2002 "A" 143
"4" "1882" 10 13 "CR3" 3.375 13.65 2003 "C" 162
"5" "1882" 11 14 "CR3" 2.833333 11.63 2004 "D" 176
"6" "1882" 12 15 "CR3" 2.25 9 2006 "A" 191
"8" "1933" 8 11 "CR4" 3.25 13.84 2002 "B" 141
"9" "1933" 9 13 "CR4" 3.375 12.61 2003 "D" 159
"10" "1964" 9 12 "CR3" 3.25 9.7 2003 "A" 147
"11" "1986" 9 12 "CR4" 3.5 9.14 2003 "A" 145
"13" "2002" 9 11 "CR3" 3.5 10.08 2002 "B" 135
"12" "2002" 10 12 "CR3" 3.375 12.01 2003 "C" 151
"15" "2010" 8 11 "CR3" 3.25 12.65 2002 "B" 133
"16" "2010" 9 12 "CR3" 3.625 13.5 2003 "B" 147
"14" "2010" 10 13 "CR3" 3.5 13.18 2004 "C" 161
"17" "2029" 9 11 "CR4" 3.125 9.35 2003 "A" 143
"18" "2030" 8 11 "CR3" 3.25 8.32 2003 "A" 140
"20" "2032" 8 11 "CR4" 3.25 11.43 2002 "D" 138
"21" "2032" 9 12 "CR4" 3.5 11.09 2003 "D" 151
"19" "2032" 10 13 "CR4" 2.916667 9.23 2004 "D" 163
"22" "2038" 8 11 "CR4" 3.25 9.53 2002 "C" 134
"25" "2077" 8 10 "CR4" 3 12.14 2002 "B" 128
"26" "2077" 9 11 "CR4" 3.25 10.12 2003 "B" 142
"23" "2077" 10 12 "CR4" 3.375 8.86 2004 "C" 155
"24" "2077" 11 13 "CR4" 2.75 10.17 2005 "B" 165
"27" "2087" 8 11 "CR4" 3.5 10.62 2002 "D" 133
"30" "2146" 8 10 "CR3" 3.75 14.17 2002 "B" 123
"31" "2146" 9 12 "CR3" 3.625 15.43 2004 "A" 144
"28" "2146" 10 13 "CR3" 3.25 14.29 2005 "B" 158
"29" "2146" 11 14 "CR3" 3.333333 10.69 2006 "A" 169
"32" "2150" 8 10 "CR3" 3.25 7.03 2003 "A" 131
"33" "2152" 6 10 "CR4" 3.5 14.68 2002 "B" 124
"34" "2152" 7 11 "CR4" 3.5 12.13 2003 "B" 135
"35" "2152" 8 12 "CR4" 3.333333 11.9 2004 "D" 152
"36" "2152" 9 13 "CR4" 2.75 7.77 2005 "D" 164
"37" "2180" 8 10 "CR4" 3.25 10.81 2003 "A" 130
